# Time (s), Energy (keV), SunX (arcsec), SunY (arcsec)
3.376033758718749881e+08,2.120000000000000107e+00,-8.228700000000000045e+02,-1.316099999999999852e+02
3.376033761027788520e+08,1.720000000000000195e+00,-8.868300000000000409e+02,1.316099999999999852e+02
3.376033764166275859e+08,1.680000000000000160e+00,-8.031899999999999409e+02,-1.414499999999999886e+02
3.376033766638487577e+08,1.760000000000000009e+00,-6.654299999999999500e+02,8.978999999999999204e+01
3.376033767087771297e+08,1.600000000000000089e+00,-7.072500000000000000e+02,1.340699999999999932e+02
3.376033768061414957e+08,1.720000000000000195e+00,-1.250910000000000082e+03,-3.210299999999999727e+02
3.376033769292469621e+08,1.640000000000000124e+00,-9.753899999999999864e+02,-2.324699999999999989e+02
3.376033771909353137e+08,3.000000000000000000e+00,-5.719500000000000455e+02,-1.316099999999999852e+02
3.376033772951703668e+08,2.200000000000000178e+00,-1.019669999999999959e+03,5.042999999999999972e+01
3.376033773060362339e+08,2.000000000000000000e+00,-7.343099999999999454e+02,2.054099999999999966e+02
3.376033774326974750e+08,1.840000000000000080e+00,-6.039299999999999500e+02,-1.217699999999999960e+02
3.376033774533126950e+08,1.640000000000000124e+00,-5.325900000000000318e+02,-1.488299999999999841e+02
3.376033774747895002e+08,2.160000000000000142e+00,-1.071329999999999927e+03,-1.365300000000000011e+02
3.376033775041384697e+08,1.680000000000000160e+00,-7.859700000000000273e+02,-7.256999999999999318e+01
3.376033777290212512e+08,1.508000000000000114e+02,-1.403430000000000064e+03,-1.488299999999999841e+02
3.376033777382888198e+08,1.840000000000000080e+00,-8.228700000000000045e+02,-1.119299999999999926e+02
3.376033780911121964e+08,1.760000000000000009e+00,-9.163500000000000227e+02,-3.357900000000000205e+02
3.376033785057964325e+08,1.840000000000000080e+00,-9.532500000000000000e+02,-9.962999999999999545e+01
3.376033785423969030e+08,1.760000000000000009e+00,-9.384900000000000091e+02,-3.321000000000000085e+01
3.376033786065234542e+08,1.720000000000000195e+00,-1.100849999999999909e+03,-1.660500000000000114e+02
3.376033786828244328e+08,1.600000000000000089e+00,-9.483300000000000409e+02,-3.689999999999999947e+00
3.376033789211935997e+08,3.959999999999999964e+00,-9.532500000000000000e+02,4.366499999999999773e+02
3.376033789278103113e+08,1.680000000000000160e+00,-9.212699999999999818e+02,-1.217699999999999960e+02
3.376033792936447263e+08,1.039200000000000017e+02,-9.163500000000000227e+02,4.120500000000000114e+02
3.376033795745399594e+08,2.240000000000000213e+00,-8.130299999999999727e+02,-3.357900000000000205e+02
3.376033796578472257e+08,1.680000000000000160e+00,-7.416899999999999409e+02,-9.470999999999999375e+01
3.376033798439822197e+08,1.800000000000000044e+00,-6.752699999999999818e+02,1.266899999999999977e+02
3.376033799750325680e+08,8.056000000000000227e+01,-6.580499999999999545e+02,-3.689999999999999947e+00
3.376033802035970092e+08,1.959999999999999964e+00,-6.088500000000000227e+02,3.075000000000000000e+01
3.376033809275173545e+08,2.000000000000000000e+00,-1.049190000000000055e+03,-3.382500000000000000e+02
3.376033809549490213e+08,2.000000000000000000e+00,-6.039299999999999500e+02,-1.266899999999999977e+02
3.376033810072981715e+08,3.476000000000000512e+01,-1.174650000000000091e+03,-2.250900000000000034e+02
3.376033811686100364e+08,1.760000000000000009e+00,-8.400900000000000318e+02,-2.546099999999999852e+02
3.376033812087076902e+08,1.600000000000000089e+00,-1.154970000000000027e+03,-6.150000000000000355e+00
3.376033818408854008e+08,1.720000000000000195e+00,-8.376299999999999955e+02,-1.168499999999999943e+02
3.376033818976898789e+08,2.120000000000000107e+00,-1.253369999999999891e+03,9.717000000000000171e+01
3.376033819292198420e+08,1.680000000000000160e+00,-8.769900000000000091e+02,3.136499999999999773e+02
3.376033819793087840e+08,1.640000000000000124e+00,-1.275509999999999991e+03,-2.250900000000000034e+02
3.376033819867426157e+08,1.800000000000000044e+00,-5.301299999999999955e+02,-7.010999999999999943e+01
3.376033820303547978e+08,1.600000000000000089e+00,-1.118069999999999936e+03,2.964300000000000068e+02
