# Time (s), Energy (keV), SunX (arcsec), SunY (arcsec)
3.376033712366915941e+08,1.920000000000000151e+00,-9.212699999999999818e+02,3.407099999999999795e+02
3.376033712980815768e+08,7.183999999999998920e+01,-1.255829999999999927e+03,-1.832700000000000102e+02
3.376033714495019317e+08,8.519999999999999574e+00,-1.137750000000000000e+03,2.496899999999999977e+02
3.376033716165299416e+08,1.760000000000000009e+00,-8.400900000000000318e+02,-6.026999999999999602e+01
3.376033716595616341e+08,2.080000000000000071e+00,-8.253300000000000409e+02,2.472299999999999898e+02
3.376033718188856244e+08,1.464000000000000057e+01,-8.892899999999999636e+02,-6.026999999999999602e+01
3.376033718789322972e+08,1.920000000000000151e+00,-1.189410000000000082e+03,5.781000000000000227e+01
3.376033718860536218e+08,2.280000000000000249e+00,-1.009830000000000041e+03,-2.570699999999999932e+02
3.376033718902202845e+08,1.720000000000000195e+00,-9.803099999999999454e+02,-1.266899999999999977e+02
3.376033719753797650e+08,1.800000000000000044e+00,-8.056499999999999773e+02,-2.324699999999999989e+02
3.376033721472449899e+08,1.680000000000000160e+00,-9.926100000000000136e+02,2.792099999999999795e+02
3.376033721806836128e+08,2.680000000000000160e+00,-6.408300000000000409e+02,-1.611299999999999955e+02
3.376033721847819090e+08,1.880000000000000115e+00,-7.589099999999999682e+02,4.058999999999999631e+01
3.376033722538693547e+08,2.600000000000000089e+00,-8.548500000000000227e+02,2.324699999999999989e+02
3.376033723188856244e+08,1.880000000000000115e+00,-9.188099999999999454e+02,1.881899999999999977e+02
3.376033724778016210e+08,2.320000000000000284e+00,-8.720699999999999363e+02,-2.054099999999999966e+02
3.376033726527582407e+08,2.492000000000000171e+01,-7.416899999999999409e+02,-2.078700000000000045e+02
3.376033727671603560e+08,1.959999999999999964e+00,-8.720699999999999363e+02,-1.070100000000000051e+02
3.376033728805653453e+08,2.479999999999999982e+00,-8.302500000000000000e+02,2.103299999999999841e+02
3.376033729515994191e+08,2.080000000000000071e+00,-1.027049999999999955e+03,-4.071299999999999955e+02
3.376033730438910723e+08,1.720000000000000195e+00,-1.273049999999999955e+03,-1.463700000000000045e+02
3.376033731482259035e+08,1.959999999999999964e+00,-8.253300000000000409e+02,2.496899999999999977e+02
3.376033734254351258e+08,1.800000000000000044e+00,-7.933500000000000227e+02,-1.389900000000000091e+02
3.376033734874099493e+08,1.760000000000000009e+00,-7.343099999999999454e+02,-6.272999999999999687e+01
3.376033734995865822e+08,2.280000000000000249e+00,-1.241069999999999936e+03,2.816700000000000159e+02
3.376033735289442539e+08,1.680000000000000160e+00,-1.108230000000000018e+03,3.579300000000000068e+02
3.376033739130392671e+08,1.600000000000000089e+00,-9.950699999999999363e+02,-7.995000000000000284e+01
3.376033739607715011e+08,1.760000000000000009e+00,-6.875699999999999363e+02,3.567000000000000171e+01
3.376033739951855540e+08,1.600000000000000089e+00,-1.258289999999999964e+03,1.340699999999999932e+02
3.376033741665429473e+08,9.211999999999999034e+01,-9.680099999999999909e+02,-3.689999999999999947e+00
3.376033742901920676e+08,2.200000000000000178e+00,-1.056569999999999936e+03,1.685099999999999909e+02
3.376033743362152576e+08,2.120000000000000107e+00,-1.218930000000000064e+03,-3.284099999999999682e+02
3.376033744214735031e+08,1.600000000000000089e+00,-1.351769999999999982e+03,2.337000000000000099e+01
3.376033745013161898e+08,1.640000000000000124e+00,-8.327100000000000364e+02,-2.841299999999999955e+02
3.376033745857498050e+08,1.760000000000000009e+00,-9.827699999999999818e+02,1.599000000000000021e+01
3.376033746319639683e+08,1.600000000000000089e+00,-7.047899999999999636e+02,2.828999999999999915e+01
3.376033746510536075e+08,2.240000000000000213e+00,-7.121699999999999591e+02,-5.781000000000000227e+01
3.376033749104394317e+08,1.225199999999999960e+02,-1.216470000000000027e+03,3.689999999999999947e+00
3.376033749792274237e+08,2.000000000000000000e+00,-1.305029999999999973e+03,2.054099999999999966e+02
